S.No.,GSTIN,Supplier Name,Export Invoice Number ,Export Date ,Export Value, GSTR 2B , Taxable Value as per GSTR 2B ,Category of Input Supplies,HSN/SAC,CGST Amount,SGST Amount,IGST Amount,Cess, Eligible for ITC ,3B Month
120,24ACTPP2635B1ZO,ANKIT ENTERPRISE,175,3/21/2024,31767,#N/A,#N/A, Inputs ,73141200,2859.01,2859.01,0,, Yes ,Oct-22
121,24ACTPP2635B1ZO,ANKIT ENTERPRISE,179,3/27/2024,660,#N/A,#N/A, Inputs ,73141200,59.4,59.4,0,, Yes ,Oct-22
122,24CBIPV4093F1ZD,APOLLO ENTERPRISE,414,3/26/2024,2660,2660,2660, Inputs ,8535,239.4,239.4,0,, Yes ,Oct-22
123,24BCBPN7558N1Z2,APOLLO INTERNATIONAL,AI/23-24/164,3/17/2024,61600,61600,61600, Inputs ,7419,5544,5544,0,, Yes ,Oct-22
124,24AAKCA2177P1Z9,AQSA POLYPACK PRIVATE LIMITED,APPL/23-24/3087,3/21/2024,14342,14342,14342, Inputs ,39206220,1290.8,1290.8,0,, Yes ,Oct-22
125,24ACJPP1079M1Z7,ASMI ELECTRICALS,618,3/5/2024,52000,52000,52000, Inputs ,85042100,4680,4680,0,, Yes ,Oct-22
126,24ACJPP1079M1Z7,ASMI ELECTRICALS,619,3/5/2024,1450,1450,1450, Inputs ,85042100,130.5,130.5,0,, Yes ,Oct-22
127,24AABCA2390M1ZP,ATUL LIMITED,23610573,3/9/2024,2016300,2016300,2016300, Inputs ,3907,181467,181467,0,, Yes ,Oct-22
128,24AABCA2390M1ZP,ATUL LIMITED,23610574,3/9/2024,97500,97500,97500, Inputs ,3907,8775,8775,0,, Yes ,Oct-22
129,24AABCA2390M1ZP,ATUL LIMITED,23611226,3/26/2024,15250,15250,15250, Inputs ,3907,1372.5,1372.5,0,, Yes ,Oct-22
130,24BJUPP3449J1ZK,AVADHUT MATERIAL HANDLING EQUIPMENT SOLUTION,202324/T-375,3/5/2024,689,689,689, Input Services ,998719,62.01,62.01,0,, Yes ,Oct-22
131,24ABFPP4973P1ZY,B A TOOLS CORPORATION,1303,3/1/2024,10000,10000,10000, Inputs ,84198990,900,900,0,, Yes ,Oct-22
132,24BHAPS1510H1ZT,B M Engineering Works,23-24/960,3/4/2024,34750,34750,34750, Inputs ,73181110,3127.5,3127.5,0,, Yes ,Oct-22
133,24BHAPS1510H1ZT,B M Engineering Works,23-24/961,3/4/2024,7325,7325,7325, Inputs ,73181110,659.25,659.25,0,, Yes ,Oct-22
134,24BHAPS1510H1ZT,B M Engineering Works,23-24/964,3/5/2024,148621,148621,148621, Inputs ,73181110,13375.91,13375.91,0,, Yes ,Oct-22
135,24BHAPS1510H1ZT,B M Engineering Works,23-24/965,3/5/2024,1400,1400,1400, Inputs ,73181110,126,126,0,, Yes ,Oct-22
136,24BHAPS1510H1ZT,B M Engineering Works,23-24/987,3/13/2024,60505,60505,60505, Inputs ,73181110,5445.45,5445.45,0,, Yes ,Oct-22
137,24BHAPS1510H1ZT,B M Engineering Works,23-24/988,3/13/2024,10640,10640,10640, Inputs ,73181110,957.6,957.6,0,, Yes ,Oct-22
138,24BHAPS1510H1ZT,B M Engineering Works,23-24/989,3/13/2024,7700,7700,7700, Inputs ,73181110,693,693,0,, Yes ,Oct-22
139,24BHAPS1510H1ZT,B M Engineering Works,23-24/992,3/15/2024,22650,22650,22650, Inputs ,73181110,2038.5,2038.5,0,, Yes ,Oct-22
140,24BHAPS1510H1ZT,B M Engineering Works,23-24/993,3/15/2024,5650,5650,5650, Inputs ,73181110,508.5,508.5,0,, Yes ,Oct-22
141,24BHAPS1510H1ZT,B M Engineering Works,23-24/994,3/15/2024,7088,7088,7088, Inputs ,73181110,637.88,637.88,0,, Yes ,Oct-22
142,24BHAPS1510H1ZT,B M Engineering Works,23-24/1023,3/26/2024,3000,3000,3000, Inputs ,73181110,270,270,0,, Yes ,Oct-22
143,24AGAPP3507F1ZU,B R ENTERPRISE,794,3/28/2024,25600,25600,25600, Inputs ,84681000,2304,2304,0,, Yes ,Oct-22
144,24AIOPM0880E1ZA,B S CORPORATION,BSC-755-2324,3/2/2024,21000,21000,21000, Inputs ,3919,1890,1890,0,, Yes ,Oct-22
145,24AIOPM0880E1ZA,B S CORPORATION,BSC-757-2324,3/2/2024,21000,21000,21000, Inputs ,3919,1890,1890,0,, Yes ,Oct-22
146,24AIOPM0880E1ZA,B S CORPORATION,BSC-806-2324,3/19/2024,14700,14700,14700, Inputs ,3919,1323,1323,0,, Yes ,Oct-22
147,24AIOPM0880E1ZA,B S CORPORATION,BSC-807-2324,3/20/2024,21000,21000,21000, Inputs ,3919,1890,1890,0,, Yes ,Oct-22
148,24AIOPM0880E1ZA,B S CORPORATION,BSC-814-2324,3/21/2024,21000,21000,21000, Inputs ,3919,1890,1890,0,, Yes ,Oct-22
149,27AAAFB6761D1ZP,BAJ ENTERPRISES,581/23-24,3/23/2024,11232,11232,11232, Inputs ,39206110,0,0,2021.76,, Yes ,Oct-22
150,24AACFB6502A1ZC,BARODA HARDWARE CENTER,5317,3/7/2024,181,181,181, Inputs ,32091010,4.52,4.52,0,, Yes ,Oct-22
151,24AACFB6502A1ZC,BARODA HARDWARE CENTER,5317,3/7/2024,7390,181,181, Inputs ,32091010,665.09,665.09,0,, Yes ,Oct-22
152,24AHXPS1698C1ZS,BHARAT SAW MILL,BSM/1691/23-24,3/9/2024,2300,2300,2300, Inputs ,7210,207,207,0,, Yes ,Oct-22
153,24AHXPS1698C1ZS,BHARAT SAW MILL,BSM/1731/23-24,3/18/2024,46646,46646,46646, Inputs ,7210,4198.12,4198.12,0,, Yes ,Oct-22
154,24AHXPS1698C1ZS,BHARAT SAW MILL,BSM/1732/23-24,3/18/2024,24353,24353,24353, Inputs ,7210,2191.76,2191.76,0,, Yes ,Oct-22
155,27AACCC3728Q1Z8,C.N.SANGHAVI AND COMPANY FORWARDERS PVT LTD,S/9313/23-24,3/21/2024,13075,13075,13075, Input Services ,996713,0,0,2353.5,, Yes ,Oct-22
156,24AGBPP8458L1ZW,CHANDANI ELECTRICAL AND WINDING WORKS,128/23-24,3/28/2024,128000,128000,128000, Inputs ,84191110,11520,11520,0,, Yes ,Oct-22
157,24CXGPP3618A1ZT,CHILD AIR,82,3/11/2024,5200,5200,5200, Inputs ,7412,468,468,0,, Yes ,Oct-22
158,24AHYPC1720C1ZS,CHOUDHARY SALES CORPORATION,1840,3/7/2024,32695,32695,32695, Inputs ,72091590,2942.55,2942.55,0,, Yes ,Oct-22
159,24AAACC7706J1ZS,CIRCUIT SYSTEMS (INDIA) PRIVATE LIMITED,23-24/271046,3/14/2024,16920,16920,16920, Inputs ,8517,1522.8,1522.8,0,, Yes ,Oct-22
160,24AAACC7706J1ZS,CIRCUIT SYSTEMS (INDIA) PRIVATE LIMITED,23-24/272739,3/26/2024,5630,5630,5630, Inputs ,8517,506.7,506.7,0,, Yes ,Oct-22
161,29AACCC0035C1ZB,COLOURTECH  PRODUCTS  PRIVATE LIMITED,ST/2324/0003349,3/1/2024,52800,52800,52800, Inputs ,29096000,0,0,9504,, Yes ,Oct-22
